Date,PredVolMean_GARCH,PredVolQ025_GARCH,PredVolQ975_GARCH,ActualReturn_GARCH,ActualAbsReturn_GARCH,ActualSqReturn_GARCH,WindowAcceptRate,PilotAcceptRate_GARCH,PredVolMean_SV,PredVolQ025_SV,PredVolQ975_SV,ActualReturn_SV,ActualAbsReturn_SV,ActualSqReturn_SV,ParamAcceptRate,LatentAcceptRate,PilotAcceptRate_SV
2023-03-28,0.0111851019664773,0.0090247195411413,0.0132718804235971,-0.0018906199659262,0.0018906199659262,3.574443855559147e-06,0.58825,0.9213333333333332,0.0118756461920477,0.0065034780062916,0.0174537302338618,-0.0018906199659262,0.0018906199659262,3.574443855559147e-06,0.634,0.2495066666666666,0.8033333333333333
2023-03-29,0.0104773236404757,0.0079054901398908,0.0128080437719053,0.0138213340975083,0.0138213340975083,0.0001910292762349,0.62225,0.9313333333333332,0.010855469642468,0.0069475965045281,0.0162637383995726,0.0138213340975083,0.0138213340975083,0.0001910292762349,0.6333333333333333,0.2528466666666666,0.7986666666666666
2023-03-30,0.0115661770673958,0.0101633391052292,0.013147938676934,0.0053834625219441,0.0053834625219441,2.8981668725176775e-05,0.36525,0.9166666666666666,0.0115929637342295,0.0082134703893166,0.0164414227780093,0.0053834625219441,0.0053834625219441,2.8981668725176775e-05,0.6186666666666667,0.24772,0.7833333333333333
2023-03-31,0.0110272089523696,0.0094771777554624,0.0128229447623778,0.014017791104498,0.014017791104498,0.0001964984674493,0.5275,0.8986666666666666,0.0107627620251471,0.0055857520579805,0.016756816328056,0.014017791104498,0.014017791104498,0.0001964984674493,0.652,0.232,0.7993333333333333
2023-04-03,0.0119677104752807,0.0105399965322467,0.0135557232627091,0.0033764858882643,0.0033764858882643,1.1400656953647989e-05,0.588,0.912,0.0116027547993967,0.0079650638628953,0.0160272978502597,0.0033764858882643,0.0033764858882643,1.1400656953647989e-05,0.6523333333333333,0.2770333333333333,0.7986666666666666
2023-04-04,0.0111563386221269,0.0096689120222454,0.0128474568516647,-0.0061293764227009,0.0061293764227009,3.7569255331162855e-05,0.581,0.8993333333333333,0.0101222161779351,0.006712969263916,0.0139170892072899,-0.0061293764227009,0.0061293764227009,3.7569255331162855e-05,0.6076666666666667,0.25297,0.7906666666666666
2023-04-05,0.0108151942973151,0.0092007605286006,0.0126997368307122,-0.0028110183346598,0.0028110183346598,7.901824077794095e-06,0.5545,0.914,0.0106841436245082,0.0062958728605018,0.015420636189415,-0.0028110183346598,0.0028110183346598,7.901824077794095e-06,0.6423333333333333,0.2383833333333333,0.808
2023-04-06,0.0109501463383841,0.0088080509871466,0.0126263758606738,0.0032572364552647,0.0032572364552647,1.0609589325505376e-05,0.08975,0.9106666666666666,0.0111258849808498,0.0056962329963184,0.0204374361721477,0.0032572364552647,0.0032572364552647,1.0609589325505376e-05,0.5146666666666667,0.2818866666666667,0.7833333333333333
2023-04-10,0.0095450590578986,0.0078140549937505,0.0113388080969547,0.0006802703394715,0.0006802703394715,4.62767734764676e-07,0.62375,0.888,0.0093115141638667,0.006523753778637,0.0129782582190454,0.0006802703394715,0.0006802703394715,4.62767734764676e-07,0.5846666666666667,0.2294133333333333,0.82
2023-04-11,0.0093168911698269,0.0075163933480743,0.01116844252511,-0.000356890010522,0.000356890010522,1.2737047961040497e-07,0.618,0.9,0.0090954664949755,0.0060630783274623,0.0126111633380762,-0.000356890010522,0.000356890010522,1.2737047961040497e-07,0.6553333333333333,0.2447,0.816
2023-04-12,0.0090470232664497,0.0069025682806405,0.0110364226646019,-0.0044589930009997,0.0044589930009997,1.988261858296516e-05,0.619,0.898,0.0072960172696039,0.0041364292341913,0.0118186627399431,-0.0044589930009997,0.0044589930009997,1.988261858296516e-05,0.608,0.2847,0.7933333333333333
2023-04-13,0.008967143232192,0.006806684868037,0.0110440608829056,0.012859973820293,0.012859973820293,0.0001653789266586,0.5865,0.9053333333333332,0.0078627001466079,0.0048894392598865,0.0115065909081147,0.012859973820293,0.012859973820293,0.0001653789266586,0.599,0.24161,0.7926666666666666
2023-04-14,0.0099435970472953,0.0087204450335516,0.0114075607895617,-0.0023870542621163,0.0023870542621163,5.698028050288051e-06,0.58,0.8973333333333333,0.0085480005686066,0.0061014618681224,0.0118536705395791,-0.0023870542621163,0.0023870542621163,5.698028050288051e-06,0.5876666666666667,0.23389,0.8113333333333334
2023-04-17,0.0095700025393882,0.0081439940322821,0.0111410556807293,0.0029851669050762,0.0029851669050762,8.911221451162243e-06,0.53075,0.9053333333333332,0.0085917478939101,0.0047226722591881,0.0142967170153076,0.0029851669050762,0.0029851669050762,8.911221451162243e-06,0.6646666666666666,0.2404233333333333,0.7973333333333333
2023-04-18,0.0092193396800233,0.007559262310723,0.0121204376677712,0.0005393181259274,0.0005393181259274,2.908640409538476e-07,0.24975,0.934,0.0096232343615809,0.0065592136261827,0.0127748220364674,0.0005393181259274,0.0005393181259274,2.908640409538476e-07,0.5966666666666667,0.2507033333333333,0.7986666666666666
2023-04-19,0.0090085397382166,0.007063044603421,0.0107707242570871,-0.0003998022254781,0.0003998022254781,1.598418194972606e-07,0.53825,0.9006666666666666,0.0063827516490785,0.0028944925985126,0.0116077870371133,-0.0003998022254781,0.0003998022254781,1.598418194972606e-07,0.6203333333333333,0.3916533333333333,0.7826666666666666
2023-04-20,0.0087473867152169,0.0066899932999614,0.0106119870717838,-0.0062858718658495,0.0062858718658495,3.951218511387947e-05,0.42975,0.9,0.0064983502391377,0.0031559240437457,0.012505139396226,-0.0062858718658495,0.0062858718658495,3.951218511387947e-05,0.6683333333333333,0.3031966666666666,0.7806666666666666
2023-04-21,0.0087748917411265,0.006938236897257,0.0106326347797484,0.0005872445797623,0.0005872445797623,3.448561964602055e-07,0.56125,0.884,0.0080210931318692,0.003609434249053,0.0146382676517221,0.0005872445797623,0.0005872445797623,3.448561964602055e-07,0.599,0.3611666666666667,0.786
2023-04-24,0.0083031785434536,0.0062336384910947,0.0104145501809178,0.0005356801007338,0.0005356801007338,2.86953170322179e-07,0.54725,0.9026666666666666,0.0057242549716789,0.0022610239854305,0.0104737664116231,0.0005356801007338,0.0005356801007338,2.86953170322179e-07,0.7303333333333333,0.26916,0.79
2023-04-25,0.0081612846700186,0.005907061777861,0.0103097484801805,-0.0162527204961148,0.0162527204961148,0.0002641509235248,0.52175,0.9213333333333332,0.0071242345330613,0.0034366632714644,0.0121117288394349,-0.0162527204961148,0.0162527204961148,0.0002641509235248,0.6523333333333333,0.2755333333333333,0.804
2023-04-26,0.0104880057505218,0.0088157575810107,0.0126383566818948,-0.0041641201808832,0.0041641201808832,1.7339896880839532e-05,0.3085,0.9253333333333332,0.0055035707955451,0.0028717965629902,0.0091805115407432,-0.0041641201808832,0.0041641201808832,1.7339896880839532e-05,0.6756666666666666,0.2516766666666666,0.8113333333333334
